year,state_abbr,state_name,population,violent_crime,homicide,rape_legacy,rape_revised,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,state_government
1979,AK,Alaska,406000,1994,54,292,0,445,1203,23193,5616,15076,2501,R
1980,AK,Alaska,440142,1919,39,250,0,360,1270,22930,5545,14916,2469,R
1981,AK,Alaska,412000,2537,60,421,0,472,1584,24634,5479,16310,2845,R
1982,AK,Alaska,438000,2732,81,374,0,586,1691,24479,5204,16672,2603,R
1983,AK,Alaska,479000,2940,66,486,0,465,1923,25889,5720,17085,3084,D
1984,AK,Alaska,500000,3108,58,458,0,547,2045,27468,6184,18140,3144,D
1985,AK,Alaska,521000,3031,51,402,0,484,2094,27588,6209,18220,3159,D
1986,AK,Alaska,534000,3046,46,388,0,470,2142,30307,6204,20879,3224,D
1987,AK,Alaska,525000,2391,53,341,0,384,1613,25841,5093,18195,2553,D
1988,AK,Alaska,513000,2682,29,296,0,374,1983,22566,4321,15911,2334,D
1989,AK,Alaska,527000,2623,42,279,0,356,1946,22567,4358,15811,2398,D
1990,AK,Alaska,550043,2885,41,401,0,422,2021,25457,4919,17428,3110,D
1991,AK,Alaska,570000,3499,42,523,0,645,2289,29000,5582,20375,3043,I
1992,AK,Alaska,587000,3877,44,579,0,640,2614,28816,5170,20728,2918,I
1993,AK,Alaska,599000,4557,54,502,0,733,3268,28795,4893,21201,2701,I
1994,AK,Alaska,606000,4644,38,418,0,886,3302,29947,4848,21824,3275,I
1995,AK,Alaska,604000,4656,55,485,0,937,3179,30097,5055,21891,3151,D
1996,AK,Alaska,607000,4417,45,398,0,710,3264,28667,5118,20557,2992,D
1997,AK,Alaska,609000,4270,54,403,0,648,3165,27840,4276,20780,2784,D
1998,AK,Alaska,614000,4015,41,421,0,532,3021,25316,4098,18611,2607,D
1999,AK,Alaska,619500,3908,52,517,0,566,2773,23099,3787,16654,2658,D
2000,AK,Alaska,626932,3554,27,497,0,490,2540,23087,3899,16838,2350,D
2001,AK,Alaska,633630,3735,39,501,0,514,2681,23160,3847,16695,2618,D
2002,AK,Alaska,641482,3627,33,511,0,489,2594,24118,3908,17739,2471,D
2003,AK,Alaska,648280,3877,39,605,0,446,2787,24386,3874,18051,2461,R
2004,AK,Alaska,657755,4159,37,558,0,447,3117,22172,3773,16159,2240,R
2005,AK,Alaska,663253,4194,32,538,0,537,3087,23975,4131,17249,2595,R
2006,AK,Alaska,670053,4610,36,512,0,600,3462,23975,4155,17284,2536,R
2007,AK,Alaska,683478,4520,43,545,0,581,3351,23096,3734,16929,2433,R
2008,AK,Alaska,686293,4475,27,447,0,645,3356,20090,3237,15225,1628,R
2009,AK,Alaska,698473,4424,22,513,0,654,3235,20538,3600,15251,1687,R
2010,AK,Alaska,714146,4537,31,533,0,594,3379,20259,3105,15535,1619,R
2011,AK,Alaska,723860,4416,30,436,0,576,3374,19094,2852,14854,1388,R
2012,AK,Alaska,730307,4412,30,583,0,630,3169,20037,2950,15565,1522,R
2013,AK,Alaska,737259,4709,34,0,925,623,3127,21211,2917,16599,1695,R
2014,AK,Alaska,737046,4684,41,0,771,629,3243,20334,3150,15445,1739,R
2015,AK,Alaska,737709,5391,59,0,900,761,3671,20806,3511,15249,2046,I
2016,AK,Alaska,741522,5966,52,0,1053,850,4011,24876,4053,17766,3057,I
2017,AK,Alaska,739786,6338,62,0,1074,952,4250,26203,4167,17782,4254,I
2018,AK,Alaska,735139,6555,47,0,1212,896,4400,24345,3985,16364,3996,I
2019,AK,     Alaska,733603,6346,69,0,1102,826,4349,21293,3558,15118,2617,R
2020,AK,     Alaska,731158,6126,49,0,1132,712,4233,16528,2775,11784,1969,R
1979,AL,Alabama,3769000,15578,496,1037,0,4127,9918,144372,48517,83791,12064,D
1980,AL,Alabama,3861466,17320,509,1158,0,5102,10551,173191,58952,102029,12210,D
1981,AL,Alabama,3916000,18423,465,1021,0,4952,11985,173411,56811,105471,11129,D
1982,AL,Alabama,3943000,17653,417,1026,0,4417,11793,165048,49531,104740,10777,D
1983,AL,Alabama,3959000,16471,364,931,0,3895,11281,145890,42485,94279,9126,D
1984,AL,Alabama,3990000,17204,374,1002,0,3833,11995,138487,39970,89198,9319,D
1985,AL,Alabama,4021000,18398,396,1079,0,4237,12686,140115,41612,88108,10395,D
1986,AL,Alabama,4053000,22616,409,1150,0,4523,16534,151191,46974,93396,10821,D
1987,AL,Alabama,4083000,22833,380,1137,0,4581,16735,158918,48927,99260,10731,R
1988,AL,Alabama,4127000,23052,408,1228,0,4860,16556,165209,50920,103282,11007,R
1989,AL,Alabama,4118000,24329,421,1276,0,5515,17117,166244,47224,106771,12249,R
1990,AL,Alabama,4040587,28630,467,1319,0,5805,21039,169974,44585,111336,14053,R
1991,AL,Alabama,4089000,34518,469,1455,0,6246,26348,184882,51873,118151,14858,R
1992,AL,Alabama,4136000,36052,455,1704,0,6819,27074,181837,49053,117801,14983,R
